1	13470
1	6545
0	8451
1	-6194
1	13402
0	8740
1	3309
0	-4810
1	-6337
1	-7246
1	-6756
1	14019
1	10715
1	14001
1	14144
1	-6941
0	-5820
0	-4200
0	12694
0	10849
1	-3701
0	-8402
0	-2985
1	-5127
0	5626
1	-1609
0	13024
0	10776
0	14143
0	8979
1	1149
0	-5375
0	-25301
0	-9116
1	-6455
0	4063
1	-17195
1	-7768
1	-2272
0	-6488
1	-7990
1	4834
0	-8237
1	8656
1	-6824
1	13924
1	-7958
1	-2573
0	7081
1	-5015
1	2072
1	-7339
1	5102
1	-8217
1	7637
0	-6389
0	-2729
1	-7047
1	-27836
1	-7973
1	-7619
1	13722
1	15000
0	-10130
0	-5488
1	9164
1	-8405
0	6031
0	-25806
1	-9815
0	10204
1	-5225
0	-22530
1	-6259
0	-3978
0	-15797
0	-8187
1	11357
1	11084
1	595
1	-7245
0	-10474
1	-15966
0	-7722
1	-1579
1	14137
1	-25053
0	6288
0	-10382
0	3505
1	13696
0	-4651
1	5289
1	-2271
0	-6674
1	-13926
1	-15920
0	-10427
1	5412
1	-7576
1	-6519
0	2401
1	4289
1	7556
0	-8329
1	-7262
1	-7853
0	8063
0	9549
0	5710
1	-5568
1	12785
1	-7830
1	-8600
1	-7303
0	-7848
0	14132
1	-7357
0	-7512
1	-4732
1	-4098
1	-7887
0	9844
0	-15085
1	1470
1	13387
0	-6418
0	-1348
0	-6958
1	14111
0	-6734
1	-6404
0	-6338
1	5665
0	14097
1	-7098
1	-7355
0	-7915
0	-6518
0	-8924
0	-6127
0	-6286
1	-8374
1	-3138
1	-8388
1	-7546
1	11434
0	-7425
1	13521
1	-7934
1	12947
1	13541
1	4289
0	12833
1	-6105
1	-6488
0	-7979
1	-6838
1	-6006
1	16434
0	-7784
1	-7577
0	19867
0	-5837
1	3666
0	11294
0	10978
0	-580
1	-8335
0	-5078
0	-6553
0	13375
1	-8395
0	5738
0	5934
0	14134
1	-4395
1	-7752
0	7782
0	-4846
1	-10325
0	-6673
0	-8088
1	-7780
0	-3438
1	-830
0	-5711
0	-3858
0	-8868
1	-2588
1	13754
1	-27405
0	2777
0	-3090
0	-3669
1	-6757
1	-8358
1	-8360
0	-6371
1	-10065
1	14095
0	-5444
1	-6697
1	-27695
0	-8353
1	-7074
0	12123
1	-6418
0	-9800
1	-10215
0	-6345
0	-7717
0	-7946
0	-8088
0	-8404
0	13571
1	-10362
1	-6275
1	-6415
1	9453
0	13352
0	7557
0	-5803
1	-5986
1	-7985
0	-8163
0	27657
0	9103
1	-350
0	-6573
1	-6377
1	-7002
1	-7006
1	12600
1	14723
1	1659
1	16801
1	31817
1	13795
0	-6239
0	-27934
1	-8390
1	-5124
0	2987
0	-8053
1	18980
1	-6222
1	3038
0	11419
1	-7566
1	-8075
1	-5535
1	-8291
1	8388
1	-1576
0	13221
1	-7923
1	-4184
1	11702
0	14145
1	-5513
1	-4674
1	-4688
1	16830
0	-6358
0	-6423
1	8393
0	12992
