-3509	-3885
11311	-14972
1431	-2989
1431	2057
4724	-6079
1431	7185
-6803	-2106
-1863	-1178
-1863	3960
4724	575
-3509	-10
17897	-6738
-6803	7859
-216	3571
17897	-13086
-11743	11978
6371	-8506
3077	2720
8017	-12159
1431	-6139
1431	-9603
11311	-14292
-10096	20216
8017	-13270
-216	752
-13389	7541
6371	-7684
-3509	-2867
-6803	-1949
1431	828
14604	-1694
6371	-21410
-10096	-124
-3509	-1857
22837	-5654
-216	-11197
-1863	12411
-216	1981
-1863	18243
-6803	9103
19544	-3926
3077	1446
3077	2225
-216	635
3077	-6463
8017	2185
-10096	-3293
1431	-220
-13389	12380
8017	-14761
-16682	24118
1431	-9736
-6803	5454
-6803	3647
-3509	-383
-18329	24341
-6803	8187
4724	3385
-16682	3867
3077	-5512
1431	22
4724	-11975
-216	3931
3077	5749
-3509	2731
-13389	3504
-216	-11068
21190	-9929
-11743	2696
-8449	4420
6371	-5956
-216	2227
16250	-10144
1431	-2857
-11743	8596
3077	-2246
14604	-11798
1431	-2646
-18329	14603
12957	2975
6371	-7201
8017	1468
-18329	1598
1431	544
-3509	-194
3077	-808
8017	-9901
1431	-434
-6803	5748
9664	-167
-10096	10134
27777	-7523
4724	-6066
4724	1952
-8449	318
-11743	13348
-8449	-505
-3509	-572
-8449	5354
3077	-7479
32717	-13026
-34796	36048
3077	-3198
-3509	6569
-19976	14345
3077	2520
16250	-9116
-10096	15232
11311	-1412
-13389	9611
-6803	2574
-15036	11723
8017	-4046
-6803	8324
9664	1598
3077	-1221
-8449	1229
6371	-12954
4724	-8026
-13389	9786
-216	-11905
8017	-14226
-6803	-2832
1431	-9171
8017	-4707
1431	3429
-6803	1032
-5156	9559
-216	5107
-1863	14380
-3509	-4397
4724	-10405
-1863	-2425
9664	-12900
-18329	12060
-216	-7510
-216	-3053
22837	-6888
-6803	12464
12957	-16943
-3509	-3782
-10096	12291
-13389	12314
-13389	23891
-5156	-564
-11743	8331
-5156	7053
8017	-8554
3077	-2883
-1863	391
8017	-11460
-8449	3605
6371	-9662
-216	235
4724	-1472
-216	9043
-11743	-1673
-6803	42
-6803	12240
-8449	8435
19544	-16392
-10096	6875
-5156	4100
9664	-14565
4724	-7242
-5156	5489
-13389	19289
3077	-1659
11311	1151
-216	1217
1431	5116
3077	-527
1431	-2113
-19976	11027
-10096	3946
-216	-6774
-10096	14908
11311	-7064
4724	586
22837	-14268
6371	-6457
22837	-10317
-216	-6737
-29856	31953
8017	-7619
4724	263
1431	1761
-13389	8063
6371	-7042
12957	-7927
-5156	-11110
-1863	1472
-8449	8243
-3509	-329
4724	4315
6371	-15522
9664	-3589
1431	-3886
16250	-14310
8017	-4400
11311	8658
-18329	36734
11311	4357
-8449	4554
6371	-4230
11311	-7699
-19976	11185
-16682	31477
6371	-3142
6371	-1871
4724	-6724
14604	-8174
-216	16717
-5156	-15068
1431	-7373
-5156	-15201
-5156	14774
9664	-8975
11311	-7346
-16682	22807
-216	-14099
3077	-7527
-216	2410
-5156	-1549
9664	-13705
4724	4690
1431	7829
-1863	-9532
6371	-8903
-1863	-1973
3077	-1080
16250	-8194
16250	-17125
1431	4117
1431	6095
-23269	9720
-11743	7093
-6803	-2146
3077	-365
8017	-7571
9664	-10779
1431	9724
1431	-6623
-16682	17900
17897	-16656
12957	-13390
-8449	-1805
-3509	-947
4724	-8808
14604	-22208
-216	-5535
4724	-14953
4724	-13104
-24916	21314
-8449	2393
3077	-16122
21190	-9626
-10096	644
-5156	-7097
-13389	16912
12957	1318
-10096	-1608
-216	-5681
-11743	1126
-8449	-364
14604	-735
1431	135
-1863	3363
3077	-9921
-216	-6062
-1863	59
-6803	4960
9664	-4768
-15036	12428
6371	-7731
-16682	9574
-6803	9211
3077	3740
-5156	1263
8017	-13045
-1863	-5628
-13389	-2699
-6803	-5965
-8449	-3219
-1863	9036
-3509	-5025
-216	-2898
-13389	22044
-216	-1536
3077	6892
9664	-1712
-8449	2287
8017	-3511
1431	486
-6803	1868
-5156	8355
-3509	5106
8017	-4180
9664	6257
-1863	-4920
-6803	11505
-216	-3166
8017	10332
-8449	9935
-13389	1088
14604	-1542
-11743	7252
6371	-7918
-10096	15589
3077	-6155
11311	-6377
-23269	20484
9664	-4340
3077	-17725
-8449	5095
-5156	-1058
4724	766
6371	-721
-216	6395
-11743	4200
-10096	-178
1431	8303
-5156	-2757
11311	-6609
-216	-2723
-3509	-4845
-1863	10675
1431	2200
3077	-455
-11743	7493
-3509	9014
-3509	-5247
8017	-5899
1431	-2374
-6803	3285
-11743	3769
8017	-5868
1431	-710
9664	-7587
14604	-4716
3077	-4753
9664	-9344
-13389	1039
-6803	3237
-15036	13228
-3509	3845
-5156	456
3077	4619
4724	-10041
4724	1331
-21622	22676
-10096	4056
-3509	2265
14604	-14053
-1863	4247
-11743	1237
4724	7
12957	-13417
4724	-3351
-19976	5138
-23269	19171
9664	-9806
3077	-296
1431	2334
1431	-7072
-8449	8824
-18329	13365
3077	2910
4724	13170
-23269	15866
6371	5765
8017	-21918
-3509	-3545
6371	-2548
-13389	11234
-1863	4266
6371	-1327
19544	-21353
4724	-368
-15036	5412
-10096	-593
-18329	13179
-6803	13344
3077	-4080
-3509	-5088
-8449	325
4724	1805
11311	-11085
-5156	3088
8017	-9267
-10096	9949
-3509	3786
-1863	-325
11311	-8393
8017	-18158
1431	4763
-6803	-2479
3077	-344
8017	-1833
-5156	3976
-10096	2066
-216	-1830
19544	-2791
-10096	11252
-216	2151
-10096	-4488
8017	-6334
6371	-6079
8017	-10456
-216	-1107
8017	-14747
1431	-11397
-216	-12366
-3509	-4085
9664	-3383
-8449	1865
8017	-5265
1431	-9442
-216	-11562
14604	81
3077	-5609
-10096	5049
-3509	9966
-3509	-1373
-216	10536
-216	-515
-1863	6493
21190	-18304
-5156	3281
-5156	-4543
12957	-5925
11311	-2587
6371	-4406
-8449	2040
-5156	-15951
-3509	-1723
-6803	5038
4724	-9366
-3509	9291
